experiment,sweep_value,alpha,gamma,theoretical_threshold,attacker_latency_ms,honest_latency_ms,pool_size,relative_revenue,relative_revenue_std,relative_revenue_ci95,revenue_gain,revenue_gain_std,revenue_gain_ci95,profitable,attacker_revenue,honest_revenue,orphaned_blocks,trials,blocks
legacy,0.070000,0.070000,0.250000,0.300000,,,,0.031754,0.000610,0.000510,-0.038246,0.000610,0.000510,False,2980,90862,6158,8,100000
legacy,0.080000,0.080000,0.250000,0.300000,,,,0.038859,0.000636,0.000532,-0.041141,0.000636,0.000532,False,3617,89460,6924,8,100000
legacy,0.090000,0.090000,0.250000,0.300000,,,,0.045943,0.000943,0.000788,-0.044057,0.000943,0.000788,False,4241,88062,7697,8,100000
legacy,0.100000,0.100000,0.250000,0.300000,,,,0.054541,0.000985,0.000824,-0.045459,0.000985,0.000824,False,4994,86565,8442,8,100000
legacy,0.110000,0.110000,0.250000,0.300000,,,,0.062363,0.000939,0.000785,-0.047637,0.000939,0.000785,False,5667,85205,9128,8,100000
legacy,0.120000,0.120000,0.250000,0.300000,,,,0.070531,0.000588,0.000492,-0.049469,0.000588,0.000492,False,6363,83857,9780,8,100000
legacy,0.130000,0.130000,0.250000,0.300000,,,,0.080073,0.000883,0.000739,-0.049927,0.000883,0.000739,False,7166,82330,10503,8,100000
legacy,0.140000,0.140000,0.250000,0.300000,,,,0.089361,0.001507,0.001260,-0.050639,0.001507,0.001260,False,7939,80906,11155,8,100000
legacy,0.150000,0.150000,0.250000,0.300000,,,,0.099224,0.001084,0.000906,-0.050776,0.001084,0.000906,False,8753,79461,11786,8,100000
legacy,0.160000,0.160000,0.250000,0.300000,,,,0.110677,0.001188,0.000993,-0.049323,0.001188,0.000993,False,9686,77829,12485,8,100000
legacy,0.170000,0.170000,0.250000,0.300000,,,,0.120852,0.001179,0.000986,-0.049148,0.001179,0.000986,False,10502,76401,13096,8,100000
legacy,0.180000,0.180000,0.250000,0.300000,,,,0.132260,0.001690,0.001413,-0.047740,0.001690,0.001413,False,11412,74870,13718,8,100000
legacy,0.190000,0.190000,0.250000,0.300000,,,,0.143797,0.001695,0.001417,-0.046203,0.001695,0.001417,False,12320,73354,14327,8,100000
legacy,0.200000,0.200000,0.250000,0.300000,,,,0.156360,0.000890,0.000744,-0.043640,0.000890,0.000744,False,13296,71736,14969,8,100000
legacy,0.210000,0.210000,0.250000,0.300000,,,,0.167877,0.001119,0.000936,-0.042123,0.001119,0.000936,False,14177,70272,15550,8,100000
legacy,0.220000,0.220000,0.250000,0.300000,,,,0.181620,0.001152,0.000964,-0.038380,0.001152,0.000964,False,15233,68639,16128,8,100000
legacy,0.230000,0.230000,0.250000,0.300000,,,,0.194400,0.003450,0.002884,-0.035600,0.003450,0.002884,False,16180,67052,16768,8,100000
legacy,0.240000,0.240000,0.250000,0.300000,,,,0.208171,0.001792,0.001498,-0.031829,0.001792,0.001498,False,17197,65413,17390,8,100000
legacy,0.250000,0.250000,0.250000,0.300000,,,,0.222434,0.000980,0.000820,-0.027566,0.000980,0.000820,False,18244,63775,17981,8,100000
legacy,0.260000,0.260000,0.250000,0.300000,,,,0.237456,0.002044,0.001709,-0.022544,0.002044,0.001709,False,19318,62036,18647,8,100000
legacy,0.270000,0.270000,0.250000,0.300000,,,,0.252497,0.001397,0.001168,-0.017503,0.001397,0.001168,False,20386,60352,19262,8,100000
legacy,0.280000,0.280000,0.250000,0.300000,,,,0.267760,0.003127,0.002615,-0.012240,0.003127,0.002615,False,21453,58669,19877,8,100000
legacy,0.290000,0.290000,0.250000,0.300000,,,,0.282489,0.002167,0.001812,-0.007511,0.002167,0.001812,False,22466,57064,20470,8,100000
legacy,0.300000,0.300000,0.250000,0.300000,,,,0.298663,0.002294,0.001918,-0.001337,0.002294,0.001918,False,23560,55326,21114,8,100000
legacy,0.310000,0.310000,0.250000,0.300000,,,,0.316746,0.002146,0.001794,0.006746,0.002146,0.001794,True,24761,53414,21825,8,100000
legacy,0.320000,0.320000,0.250000,0.300000,,,,0.335216,0.002794,0.002336,0.015216,0.002794,0.002336,True,25956,51476,22567,8,100000
legacy,0.330000,0.330000,0.250000,0.300000,,,,0.351677,0.001842,0.001540,0.021677,0.001842,0.001540,True,26990,49758,23252,8,100000
legacy,0.340000,0.340000,0.250000,0.300000,,,,0.371089,0.001301,0.001088,0.031089,0.001301,0.001088,True,28195,47785,24020,8,100000
legacy,0.350000,0.350000,0.250000,0.300000,,,,0.391056,0.001940,0.001622,0.041056,0.001940,0.001622,True,29410,45798,24792,8,100000
legacy,0.360000,0.360000,0.250000,0.300000,,,,0.413121,0.003526,0.002948,0.053121,0.003526,0.002948,True,30676,43579,25744,8,100000
legacy,0.370000,0.370000,0.250000,0.300000,,,,0.432352,0.001888,0.001579,0.062352,0.001888,0.001579,True,31761,41701,26538,8,100000
legacy,0.380000,0.380000,0.250000,0.300000,,,,0.454638,0.002958,0.002473,0.074638,0.002958,0.002473,True,33020,39610,27370,8,100000
legacy,0.390000,0.390000,0.250000,0.300000,,,,0.479327,0.003348,0.002799,0.089327,0.003348,0.002799,True,34294,37253,28452,8,100000
legacy,0.400000,0.400000,0.250000,0.300000,,,,0.504448,0.004964,0.004151,0.104448,0.004964,0.004151,True,35550,34925,29525,8,100000
legacy,0.410000,0.410000,0.250000,0.300000,,,,0.528944,0.003053,0.002553,0.118944,0.003053,0.002553,True,36758,32735,30507,8,100000
legacy,0.420000,0.420000,0.250000,0.300000,,,,0.562665,0.002104,0.001759,0.142665,0.002104,0.001759,True,38257,29736,32007,8,100000
legacy,0.430000,0.430000,0.250000,0.300000,,,,0.592860,0.005150,0.004306,0.162860,0.005150,0.004306,True,39524,27144,33332,8,100000
legacy,0.440000,0.440000,0.250000,0.300000,,,,0.628064,0.006965,0.005824,0.188064,0.006965,0.005824,True,40882,24213,34906,8,100000
legacy,0.450000,0.450000,0.250000,0.300000,,,,0.668359,0.004905,0.004101,0.218359,0.004905,0.004101,True,42318,21000,36682,8,100000
legacy,0.460000,0.460000,0.250000,0.300000,,,,0.710959,0.009389,0.007850,0.250959,0.009389,0.007850,True,43722,17781,38498,8,100000
legacy,0.470000,0.470000,0.250000,0.300000,,,,0.763086,0.007208,0.006027,0.293086,0.007208,0.006027,True,45223,14043,40735,8,100000
legacy,0.480000,0.480000,0.250000,0.300000,,,,0.823794,0.014200,0.011873,0.343794,0.014200,0.011873,True,46691,9996,43314,8,100000
legacy,0.490000,0.490000,0.250000,0.300000,,,,0.897220,0.011784,0.009854,0.407220,0.011784,0.009854,True,48238,5531,46230,8,100000
legacy,0.010000,0.010000,0.500000,0.250000,,,,0.005325,0.000204,0.000170,-0.004675,0.000204,0.000170,False,527,98488,984,8,100000
legacy,0.020000,0.020000,0.500000,0.250000,,,,0.010868,0.000256,0.000214,-0.009132,0.000256,0.000214,False,1066,97023,1911,8,100000
legacy,0.030000,0.030000,0.500000,0.250000,,,,0.017290,0.000336,0.000281,-0.012710,0.000336,0.000281,False,1680,95470,2850,8,100000
legacy,0.040000,0.040000,0.500000,0.250000,,,,0.023886,0.000666,0.000557,-0.016114,0.000666,0.000557,False,2300,93971,3729,8,100000
legacy,0.050000,0.050000,0.500000,0.250000,,,,0.030979,0.000722,0.000603,-0.019021,0.000722,0.000603,False,2956,92468,4576,8,100000
legacy,0.060000,0.060000,0.500000,0.250000,,,,0.038592,0.000956,0.000799,-0.021408,0.000956,0.000799,False,3651,90963,5385,8,100000
legacy,0.070000,0.070000,0.500000,0.250000,,,,0.046082,0.000439,0.000367,-0.023918,0.000439,0.000367,False,4326,89550,6124,8,100000
legacy,0.080000,0.080000,0.500000,0.250000,,,,0.055347,0.000830,0.000694,-0.024653,0.000830,0.000694,False,5150,87906,6944,8,100000
legacy,0.090000,0.090000,0.500000,0.250000,,,,0.063487,0.000796,0.000665,-0.026513,0.000796,0.000665,False,5861,86454,7686,8,100000
legacy,0.100000,0.100000,0.500000,0.250000,,,,0.073309,0.001159,0.000969,-0.026691,0.001159,0.000969,False,6712,84843,8445,8,100000
legacy,0.110000,0.110000,0.500000,0.250000,,,,0.081848,0.001300,0.001087,-0.028152,0.001300,0.001087,False,7438,83440,9121,8,100000
legacy,0.120000,0.120000,0.500000,0.250000,,,,0.091836,0.001126,0.000942,-0.028164,0.001126,0.000942,False,8285,81926,9789,8,100000
legacy,0.130000,0.130000,0.500000,0.250000,,,,0.102861,0.001596,0.001335,-0.027139,0.001596,0.001335,False,9203,80267,10530,8,100000
legacy,0.140000,0.140000,0.500000,0.250000,,,,0.112644,0.001577,0.001319,-0.027356,0.001577,0.001319,False,10004,78812,11183,8,100000
legacy,0.150000,0.150000,0.500000,0.250000,,,,0.122587,0.001681,0.001406,-0.027413,0.001681,0.001406,False,10809,77367,11824,8,100000
legacy,0.160000,0.160000,0.500000,0.250000,,,,0.133865,0.000993,0.000830,-0.026135,0.000993,0.000830,False,11721,75837,12442,8,100000
legacy,0.170000,0.170000,0.500000,0.250000,,,,0.146438,0.001484,0.001241,-0.023562,0.001484,0.001241,False,12723,74163,13114,8,100000
legacy,0.180000,0.180000,0.500000,0.250000,,,,0.157362,0.001731,0.001447,-0.022638,0.001731,0.001447,False,13575,72692,13733,8,100000
legacy,0.190000,0.190000,0.500000,0.250000,,,,0.169561,0.001732,0.001448,-0.020439,0.001732,0.001448,False,14531,71168,14300,8,100000
legacy,0.200000,0.200000,0.500000,0.250000,,,,0.182263,0.001231,0.001030,-0.017737,0.001231,0.001030,False,15505,69563,14932,8,100000
legacy,0.210000,0.210000,0.500000,0.250000,,,,0.195401,0.001781,0.001489,-0.014599,0.001781,0.001489,False,16506,67965,15529,8,100000
legacy,0.220000,0.220000,0.500000,0.250000,,,,0.208286,0.001785,0.001492,-0.011714,0.001785,0.001492,False,17463,66378,16160,8,100000
legacy,0.230000,0.230000,0.500000,0.250000,,,,0.222285,0.002607,0.002180,-0.007715,0.002607,0.002180,False,18499,64723,16778,8,100000
legacy,0.240000,0.240000,0.500000,0.250000,,,,0.235725,0.002494,0.002085,-0.004275,0.002494,0.002085,False,19481,63163,17356,8,100000
legacy,0.250000,0.250000,0.500000,0.250000,,,,0.250303,0.002144,0.001792,0.000303,0.002144,0.001792,True,20526,61479,17995,8,100000
legacy,0.260000,0.260000,0.500000,0.250000,,,,0.265048,0.002329,0.001947,0.005048,0.002329,0.001947,True,21564,59795,18641,8,100000
legacy,0.270000,0.270000,0.500000,0.250000,,,,0.278341,0.002705,0.002262,0.008341,0.002705,0.002262,True,22495,58324,19181,8,100000
legacy,0.280000,0.280000,0.500000,0.250000,,,,0.294949,0.002227,0.001862,0.014949,0.002227,0.001862,True,23639,56508,19852,8,100000
legacy,0.290000,0.290000,0.500000,0.250000,,,,0.311371,0.003179,0.002658,0.021371,0.003179,0.002658,True,24731,54696,20573,8,100000
legacy,0.300000,0.300000,0.500000,0.250000,,,,0.326982,0.003179,0.002658,0.026982,0.003179,0.002658,True,25787,53078,21135,8,100000
legacy,0.310000,0.310000,0.500000,0.250000,,,,0.343868,0.001324,0.001107,0.033868,0.001324,0.001107,True,26858,51247,21895,8,100000
legacy,0.320000,0.320000,0.500000,0.250000,,,,0.361897,0.002326,0.001945,0.041897,0.002326,0.001945,True,28004,49378,22618,8,100000
legacy,0.330000,0.330000,0.500000,0.250000,,,,0.378494,0.002696,0.002254,0.048494,0.002696,0.002254,True,29022,47656,23323,8,100000
legacy,0.340000,0.340000,0.500000,0.250000,,,,0.398204,0.003215,0.002689,0.058204,0.003215,0.002689,True,30224,45677,24099,8,100000
legacy,0.350000,0.350000,0.500000,0.250000,,,,0.414521,0.002561,0.002141,0.064521,0.002561,0.002141,True,31194,44060,24746,8,100000
legacy,0.360000,0.360000,0.500000,0.250000,,,,0.437237,0.004703,0.003932,0.077237,0.004703,0.003932,True,32485,41813,25701,8,100000
legacy,0.370000,0.370000,0.500000,0.250000,,,,0.457748,0.004607,0.003852,0.087748,0.004607,0.003852,True,33614,39821,26564,8,100000
legacy,0.380000,0.380000,0.500000,0.250000,,,,0.477567,0.001792,0.001498,0.097567,0.001792,0.001498,True,34663,37919,27418,8,100000
legacy,0.390000,0.390000,0.500000,0.250000,,,,0.500883,0.002939,0.002458,0.110883,0.002939,0.002458,True,35844,35719,28437,8,100000
legacy,0.400000,0.400000,0.500000,0.250000,,,,0.526597,0.003624,0.003030,0.126597,0.003624,0.003030,True,37094,33348,29557,8,100000
legacy,0.410000,0.410000,0.500000,0.250000,,,,0.553775,0.003008,0.002516,0.143775,0.003008,0.002516,True,38339,30894,30767,8,100000
legacy,0.420000,0.420000,0.500000,0.250000,,,,0.580007,0.002986,0.002497,0.160007,0.002986,0.002497,True,39470,28582,31948,8,100000
legacy,0.430000,0.430000,0.500000,0.250000,,,,0.610759,0.005969,0.004991,0.180759,0.005969,0.004991,True,40687,25933,33380,8,100000
legacy,0.440000,0.440000,0.500000,0.250000,,,,0.647221,0.005290,0.004424,0.207221,0.005290,0.004424,True,42040,22916,35044,8,100000
legacy,0.450000,0.450000,0.500000,0.250000,,,,0.674676,0.005563,0.004651,0.224676,0.005563,0.004651,True,43003,20738,36259,8,100000
legacy,0.460000,0.460000,0.500000,0.250000,,,,0.724709,0.010607,0.008869,0.264709,0.010607,0.008869,True,44493,16908,38600,8,100000
legacy,0.470000,0.470000,0.500000,0.250000,,,,0.770254,0.006751,0.005645,0.300254,0.006751,0.005645,True,45735,13644,40621,8,100000
legacy,0.480000,0.480000,0.500000,0.250000,,,,0.836732,0.009124,0.007629,0.356732,0.009124,0.007629,True,47257,9225,43519,8,100000
legacy,0.490000,0.490000,0.500000,0.250000,,,,0.900117,0.011298,0.009447,0.410117,0.011298,0.009447,True,48446,5381,46173,8,100000
legacy,0.010000,0.010000,0.750000,0.166667,,,,0.007741,0.000324,0.000271,-0.002259,0.000324,0.000271,False,766,98247,986,8,100000
legacy,0.020000,0.020000,0.750000,0.166667,,,,0.015537,0.000357,0.000299,-0.004463,0.000357,0.000299,False,1524,96556,1921,8,100000
legacy,0.030000,0.030000,0.750000,0.166667,,,,0.023821,0.000456,0.000381,-0.006179,0.000456,0.000381,False,2315,94878,2807,8,100000
legacy,0.040000,0.040000,0.750000,0.166667,,,,0.032945,0.000776,0.000649,-0.007055,0.000776,0.000649,False,3172,93101,3728,8,100000
legacy,0.050000,0.050000,0.750000,0.166667,,,,0.041867,0.000508,0.000425,-0.008133,0.000508,0.000425,False,3995,91422,4583,8,100000
legacy,0.060000,0.060000,0.750000,0.166667,,,,0.050960,0.000784,0.000656,-0.009040,0.000784,0.000656,False,4822,89804,5374,8,100000
legacy,0.070000,0.070000,0.750000,0.166667,,,,0.060325,0.001336,0.001117,-0.009675,0.001336,0.001117,False,5660,88172,6167,8,100000
legacy,0.080000,0.080000,0.750000,0.166667,,,,0.070568,0.000925,0.000774,-0.009432,0.000925,0.000774,False,6565,86463,6972,8,100000
legacy,0.090000,0.090000,0.750000,0.166667,,,,0.080837,0.001263,0.001056,-0.009163,0.001263,0.001056,False,7461,84833,7706,8,100000
legacy,0.100000,0.100000,0.750000,0.166667,,,,0.090864,0.001224,0.001024,-0.009136,0.001224,0.001024,False,8321,83252,8427,8,100000
legacy,0.110000,0.110000,0.750000,0.166667,,,,0.101695,0.001465,0.001225,-0.008305,0.001465,0.001225,False,9240,81620,9140,8,100000
legacy,0.120000,0.120000,0.750000,0.166667,,,,0.112076,0.001289,0.001077,-0.007924,0.001289,0.001077,False,10108,80080,9812,8,100000
legacy,0.130000,0.130000,0.750000,0.166667,,,,0.124028,0.001538,0.001286,-0.005972,0.001538,0.001286,False,11093,78347,10560,8,100000
legacy,0.140000,0.140000,0.750000,0.166667,,,,0.135061,0.001316,0.001101,-0.004939,0.001316,0.001101,False,11998,76836,11166,8,100000
legacy,0.150000,0.150000,0.750000,0.166667,,,,0.147163,0.001449,0.001211,-0.002837,0.001449,0.001211,False,12975,75195,11829,8,100000
legacy,0.160000,0.160000,0.750000,0.166667,,,,0.159210,0.001006,0.000841,-0.000790,0.001006,0.000841,False,13933,73583,12484,8,100000
legacy,0.170000,0.170000,0.750000,0.166667,,,,0.170613,0.001357,0.001134,0.000613,0.001357,0.001134,True,14829,72086,13086,8,100000
legacy,0.180000,0.180000,0.750000,0.166667,,,,0.182751,0.002385,0.001994,0.002751,0.002385,0.001994,True,15767,70511,13722,8,100000
legacy,0.190000,0.190000,0.750000,0.166667,,,,0.195535,0.001613,0.001348,0.005535,0.001613,0.001348,True,16753,68925,14322,8,100000
legacy,0.200000,0.200000,0.750000,0.166667,,,,0.208898,0.001376,0.001150,0.008898,0.001376,0.001150,True,17762,67267,14971,8,100000
legacy,0.210000,0.210000,0.750000,0.166667,,,,0.221086,0.001272,0.001064,0.011086,0.001272,0.001064,True,18673,65787,15539,8,100000
legacy,0.220000,0.220000,0.750000,0.166667,,,,0.235280,0.001699,0.001421,0.015280,0.001699,0.001421,True,19728,64123,16149,8,100000
legacy,0.230000,0.230000,0.750000,0.166667,,,,0.249600,0.002406,0.002012,0.019600,0.002406,0.002012,True,20772,62451,16776,8,100000
legacy,0.240000,0.240000,0.750000,0.166667,,,,0.262877,0.001464,0.001224,0.022877,0.001464,0.001224,True,21716,60893,17392,8,100000
legacy,0.250000,0.250000,0.750000,0.166667,,,,0.276806,0.002735,0.002287,0.026806,0.002735,0.002287,True,22704,59320,17976,8,100000
legacy,0.260000,0.260000,0.750000,0.166667,,,,0.291319,0.001330,0.001112,0.031319,0.001330,0.001112,True,23718,57698,18584,8,100000
legacy,0.270000,0.270000,0.750000,0.166667,,,,0.307397,0.001920,0.001606,0.037397,0.001920,0.001606,True,24823,55929,19248,8,100000
legacy,0.280000,0.280000,0.750000,0.166667,,,,0.323317,0.002015,0.001685,0.043317,0.002015,0.001685,True,25902,54211,19887,8,100000
